"filename", "language", "Markdown", "HTML", "JavaScript", "YAML", "JSON", "XML", "TypeScript", "MS SQL", "Python", "TypeScript JSX", "PostCSS", "JSON with Comments", "comment", "blank", "total"
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260530000001_user_can_delete_own_listings_any_status.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 15, 4, 31
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260530000002_protect_contact_email.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 44, 8, 330
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260530000003_outbound_email_queue.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 77, 27, 300
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260530000004_approve_user_returns_email.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 14, 7, 51
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260530000005_opportunity_bookmarks.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 18, 9, 119
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260530000006_listing_analytics.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 38, 9, 123
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260531000001_reject_user_full_delete.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 33, 11, 92
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260531000002_listing_events_orphan_cleanup.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 19, 6, 51
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260531000003_lock_status_to_role.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 41, 12, 139
"/Users/varunnayak/Downloads/EntrepreneursWebsite/supabase/migrations/20260531000004_revoke_enqueue_outbound_email.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 17, 3, 24
